,0
/en/library/transcripts/660727bg-new-york/,"[['[Bg 4.12]', '[Bg 4.12]', '[Bg 3.27]', '[Bg 4.9]', '[Bg 4.9]', '[Bg 7.15]', '[Bg 9.32]', '[Bg 4.7]', '[Bg 8.19]', '[Bg 4.13]', '[Bg 4.13]', '[Bg 8.19]', '[Bg 4.13]', '[Bg 9.32]', '[Bg 9.33]', '[Bg 9.31]', '[Bg 4.13]', '[Bg 18.66]', '[Bg 7.19]', '[Bg 10.12]', '[Bg 4.13]', '[Bg 4.13]', '[SB 1.17.38]', '[SB 1.2.6]']]"
/en/library/transcripts/660729bg-new-york/,"[['[Bg 4.13]', '[Bg 14.26]', '[Bg 14.26]', '[Bg 2.20]', '[Bg 2.59]', '[Bg 4.13]', '[Bg 9.32]', '[Bg 4.13]', '[Bg 4.14]', '[Bg 4.34]', '[Bg 4.5]', '[Bg 4.11]', '[Bg 4.14]', '[SB 1.1.1]', '[SB 10.12.11]']]"
/en/library/transcripts/660801bg-new-york/,"[['[Bg 4.14]', '[Bg 4.14]', '[Bg 4.15]', '[Bg 4.15]', '[Bg 4.16]', '[Bg 4.9]', '[Bg 11.55]', '[Bg 18.66]', '[Bg 18.66]', '[Bg 4.16]', '[Bg 4.17]', '[Bg 4.18]', '[Bg 4.18]', '[Bg 4.18]', '[Bg 13.9]', '[Bg 8.16]', '[Bg 15.6]', '[Bg 4.18]', '[Bg 4.19]', '[Bg 10.8]', '[Bg 5.18]', '[Bg 2.22]', '[Bg 10.8]', '[Bg 4.19]', '[SB 1.8.26]', '[SB 1.8.26]']]"
/en/library/transcripts/660803bg-new-york/,"[['[Bg 4.19]', '[Bg 15.7]', '[Bg 5.29]', '[Bg 5.29]', '[Bg 13.9]', '[Bg 7.14]', '[Bg 4.19]', '[Bg 10.8]', '[Bg 10.8]', '[Bg 9.13]', '[Bg 2.20]', '[Bg 15.6]', '[Bg 13.9]', '[Bg 13.9]', '[Bg 4.9]', '[Bg 15.6]', '[SB 5.5.18]', '[SB 7.5.31]', '[SB 1.1.1]']]"
/en/library/transcripts/660805bg-new-york/,"[['[Bg 4.19]', '[Bg 4.20]', '[Bg 4.20]', '[Bg 2.47]', '[Bg 4.21]', '[Bg 4.21]', '[Bg 9.26]', '[Bg 9.26]', '[Bg 15.7]', '[Bg 4.22]', '[Bg 9.30]', '[Bg 4.22]', '[SB 1.13.47]', '[SB 7.5.23]']]"
/en/library/transcripts/660808bg-new-york/,"[['[Bg 4.19]', '[Bg 4.20]', '[Bg 4.22]', '[Bg 4.23]', '[Bg 4.24]', '[Bg 15.15]', '[Bg 5.29]', '[Bg 12.5]', '[Bg 4.24]', '[SB 12.3.52]', '[SB 12.3.52]', '[SB 11.5.32]']]"
/en/library/transcripts/660810bg-new-york/,"[['[Bg 4.24]', '[Bg 4.25]', '[Bg 4.26]', '[Bg 4.13]', '[Bg 7.19]', '[Bg 7.19]', '[Bg 7.19]', '[Bg 7.19]', '[Bg 7.19]', '[Bg 4.27]', '[Bg 4.28]', '[Bg 6.47]', '[Bg 4.29]', '[Bg 4.30]', '[Bg 4.31]', '[Bg 4.32]', '[Bg 4.33]', '[Bg 4.34]', '[Bg 4.34]', '[Bg 7.7]', '[Bg 15.15]', '[Bg 4.2]', '[Bg 4.34]', '[Bg 4.34]', '[Bg 7.19]', '[Bg 4.3]', '[Bg 7.19]', '[Bg 10.11]', '[Bg 18.66]', '[Bg 2.65]', '[SB 7.5.31]', '[SB 7.5.31]', '[SB 7.5.31]', '[SB 1.2.11]', '[SB 11.3.21]']]"
/en/library/transcripts/660815bg-new-york/,"[['[Bg. 4.34]', '[Bg. 4.35]', '[Bg. 4.34]', '[Bg. 4.34]', '[Bg. 4.36]', '[Bg. 4.36]', '[Bg. 4.37]', '[Bg. 4.37]', '[Bg. 4.38]', '[Bg. 7.19]', '[Bg. 14.4]']]"
/en/library/transcripts/660817bg-new-york/,"[['[Bg 4.37]', '[Bg 8.15]', '[Bg 8.15]', '[Bg 7.19]', '[Bg 4.38]', '[Bg 18.54]', '[Bg 4.38]', '[Bg 18.54]', '[Bg 2.59]', '[Bg 18.54]', '[Bg 2.22]', '[Bg 4.38]', '[Bg 4.39]', '[Bg 4.39]', '[Bg 4.34]', '[Bg 4.40]', '[Bg 6.21]', '[SB 1.8.26]', '[SB 1.1.10]', '[SB 10.2.32]']]"
/en/library/transcripts/660819bg-new-york/,"[['[Bg 4.39]', '[Bg 5.29]', '[Bg 4.40]', '[Bg 4.41]', '[Bg 15.7]', '[Bg 4.42]', '[Bg 5.1]', '[Bg 5.1]', '[Bg 5.29]', '[Bg 14.4]', '[Bg 5.2]', '[Bg 5.2]', '[Bg 5.3]']]"
